169;CHEUNG KONG;ªø¦¿¹ê·~;
15:470;99.500;99.500;98.500;99.500;6000;
15:460;99.500;99.500;98.500;99.500;24000;
15:450;99.500;99.500;98.500;99.500;67000;
15:440;99.500;99.500;98.500;99.500;123000;
15:430;99.500;99.500;98.500;99.500;39000;
15:420;99.500;99.500;98.500;99.500;153000;
15:410;99.500;99.500;98.500;99.500;61000;
15:400;99.500;99.500;98.500;99.500;26000;
15:390;99.500;99.500;98.500;99.500;44000;
15:380;99.500;99.500;98.500;99.500;500000;
15:370;99.250;99.250;98.500;99.250;8000;
15:360;99.250;99.250;98.500;99.250;54000;
15:350;99.250;99.250;98.500;99.250;7000;
15:340;99.250;99.250;98.500;99.250;14000;
15:330;99.250;99.250;98.500;99.250;397000;
15:320;99.000;99.250;98.500;99.000;15000;
15:310;99.000;99.250;98.500;99.000;18000;
15:300;99.000;99.250;98.500;99.000;6000;
15:290;99.000;99.250;98.500;99.000;8000;
15:280;99.000;99.250;98.500;99.000;419000;
15:270;98.750;99.250;98.500;98.750;13000;
15:250;98.750;99.250;98.500;98.750;31000;
15:240;98.750;99.250;98.500;98.750;4000;
15:230;98.750;99.250;98.500;98.750;6000;
15:220;98.750;99.250;98.500;98.750;5000;
15:210;98.750;99.250;98.500;98.750;3000;
15:190;98.750;99.250;98.500;98.750;3000;
15:180;98.750;99.250;98.500;98.750;13000;
15:170;98.750;99.250;98.500;98.750;110000;
15:160;98.750;99.250;98.500;98.750;25000;
15:150;98.750;99.250;98.500;98.750;14000;
15:140;98.750;99.250;98.500;98.750;6000;
15:130;98.750;99.250;98.500;98.750;11000;
15:120;98.750;99.250;98.500;98.750;28000;
15:110;98.750;99.250;98.500;98.750;2000;
15:100;98.750;99.250;98.500;98.750;30000;
15:090;99.000;99.250;98.500;99.000;21000;
15:080;99.000;99.250;98.500;99.000;130000;
15:070;99.000;99.250;98.500;99.000;11000;
15:060;99.000;99.250;98.500;99.000;6000;
15:050;99.000;99.250;98.500;99.000;1000;
15:040;99.000;99.250;98.500;99.000;1000;
15:030;99.000;99.250;98.500;99.000;7000;
15:020;99.000;99.250;98.500;99.000;10000;
15:010;99.000;99.250;98.500;99.000;23000;
15:000;99.000;99.250;98.500;99.000;8000;
14:570;99.000;99.250;98.500;99.000;30000;
14:560;99.000;99.250;98.500;99.000;6000;
14:550;99.250;99.250;98.500;99.250;153000;
14:540;99.000;99.250;98.500;99.000;3000;
14:530;99.000;99.250;98.500;99.000;40000;
14:520;99.250;99.250;98.500;99.250;49000;
14:510;99.250;99.250;98.500;99.250;38851;
14:500;99.250;99.250;98.500;99.250;372000;
14:490;99.000;99.250;98.500;99.000;2000;
14:480;99.000;99.250;98.500;99.000;32000;
14:470;99.000;99.250;98.500;99.000;8000;
14:460;99.000;99.250;98.500;99.000;49100;
14:450;99.000;99.250;98.500;99.000;227000;
14:440;99.000;99.250;98.500;99.000;113000;
14:430;99.000;99.250;98.500;99.000;39000;
14:420;99.000;99.250;98.500;99.000;6000;
14:410;99.000;99.250;98.500;99.000;210000;
14:400;99.000;99.250;98.500;99.000;109000;
14:390;99.000;99.250;98.500;99.000;670000;
14:370;99.000;99.250;98.500;99.000;4000;
14:360;98.750;99.250;98.500;98.750;3000;
14:350;98.750;99.250;98.500;98.750;2000;
14:340;98.750;99.250;98.500;98.750;30000;
14:330;98.750;99.250;98.500;98.750;17000;
14:320;98.750;99.250;98.500;98.750;58000;
14:310;98.500;99.250;98.500;98.500;4000;
14:300;98.750;99.250;98.500;98.750;33000;
12:290;98.750;99.250;98.500;98.750;18000;
12:270;98.750;99.250;98.500;98.750;5000;
12:260;98.750;99.250;98.500;98.750;1000;
12:250;98.750;99.250;98.500;98.750;20000;
12:240;98.750;99.250;98.500;98.750;14000;
12:230;98.750;99.250;98.500;98.750;1000;
12:220;98.750;99.250;98.500;98.750;1000;
12:210;98.750;99.250;98.500;98.750;21632;
12:200;98.750;99.250;98.500;98.750;1000;
12:190;98.750;99.250;98.500;98.750;12000;
12:180;98.750;99.250;98.500;98.750;54000;
12:170;98.750;99.250;98.500;98.750;125000;
12:150;98.750;99.250;98.500;98.750;2000;
12:140;98.750;99.250;98.500;98.750;88000;
